technology_1,technology_2,mode,carrier_conversion_in,carrier_conversion_out,carrier_stored_in,carrier_stored_out,technology_type
biomassPlant,,,biomass,electricity,,,mature
gasPlant,,,synthGas,electricity,,,mature
wind,onshore_1,,,electricity,,,mature
wind,onshore_2,,,electricity,,,mature
wind,offshore,,,electricity,,,mature
solar,openspace_1,,,electricity,,,mature
solar,openspace_2,,,electricity,,,mature
hydro,newStream,,,electricity,,,mature
hydro,nonPoweredDam,,,electricity,,,mature
pumpedStorage,,,,,electricity,electricity,mature
geothermal,hydrothermal,,,electricity,,,mature
geothermal,enhancedGeothermal_1,,,electricity,,,mature
geothermal,enhancedGeothermal_2,,,electricity,,,mature
battery,,,,,electricity,electricity,mature
electrolysis,,,electricity,hydrogen,,,mature
methanation,,,hydrogen,synthGas,,,mature
ccgtHydrogen,,,hydrogen,electricity,,,mature
gasStorage,,,,,gas,gas,mature
